Locality,Latitude,Longitude,Year,p1,p2,p3,count,zero
Boags Rocks,-38.4393,144.848,2010,14.75,854.6,148542,NA,0
Boags Rocks,-38.4393,144.848,2011,14.6,873.4,149271,NA,0
Boags Rocks,-38.4393,144.848,2012,14.65,877.8,151700,4,1
Boags Rocks,-38.4393,144.848,2013,15,806.6,154001,9,1
Boags Rocks,-38.4393,144.848,2014,15.15,658.8,156500,NA,0
Boags Rocks,-38.4393,144.848,2015,14.6,545.6,158831,NA,0
Boags Rocks,-38.4393,144.848,2016,15.05,646.2,161528,NA,0
Boags Rocks,-38.4393,144.848,2017,14.85,720.4,163834,NA,0
Boags Rocks,-38.4393,144.848,2018,15,645.2,165823,10,1
Boags Rocks,-38.4393,144.848,2019,14.9,591.8,167619,4,1
Bushrangers Bay,-38.4901,144.915,2010,14.75,854.6,148542,NA,0
Bushrangers Bay,-38.4901,144.915,2011,14.6,873.4,149271,NA,0
Bushrangers Bay,-38.4901,144.915,2012,14.65,877.8,151700,NA,0
Bushrangers Bay,-38.4901,144.915,2013,15,806.6,154001,NA,0
Bushrangers Bay,-38.4901,144.915,2014,15.15,658.8,156500,2,1
Bushrangers Bay,-38.4901,144.915,2015,14.6,545.6,158831,NA,0
Bushrangers Bay,-38.4901,144.915,2016,15.05,646.2,161528,2,1
Bushrangers Bay,-38.4901,144.915,2017,14.85,720.4,163834,2,1
Bushrangers Bay,-38.4901,144.915,2018,15,645.2,165823,1,1
Bushrangers Bay,-38.4901,144.915,2019,14.9,591.8,167619,NA,0
Cape Schanck,-38.4932,144.888,2010,14.75,854.6,148542,NA,0
Cape Schanck,-38.4932,144.888,2011,14.6,873.4,149271,NA,0
Cape Schanck,-38.4932,144.888,2012,14.65,877.8,151700,2,1
Cape Schanck,-38.4932,144.888,2013,15,806.6,154001,NA,0
Cape Schanck,-38.4932,144.888,2014,15.15,658.8,156500,NA,0
Cape Schanck,-38.4932,144.888,2015,14.6,545.6,158831,NA,0
Cape Schanck,-38.4932,144.888,2016,15.05,646.2,161528,NA,0
Cape Schanck,-38.4932,144.888,2017,14.85,720.4,163834,4,1
Cape Schanck,-38.4932,144.888,2018,15,645.2,165823,1,1
Cape Schanck,-38.4932,144.888,2019,14.9,591.8,167619,NA,0
Coolart,-38.3845,145.145,2010,14.75,854.6,148542,NA,0
Coolart,-38.3845,145.145,2011,14.6,873.4,149271,NA,0
Coolart,-38.3845,145.145,2012,14.65,877.8,151700,NA,0
Coolart,-38.3845,145.145,2013,15,806.6,154001,NA,0
Coolart,-38.3845,145.145,2014,15.15,658.8,156500,NA,0
Coolart,-38.3845,145.145,2015,14.6,545.6,158831,4,1
Coolart,-38.3845,145.145,2016,15.05,646.2,161528,NA,0
Coolart,-38.3845,145.145,2017,14.85,720.4,163834,NA,0
Coolart,-38.3845,145.145,2018,15,645.2,165823,NA,0
Coolart,-38.3845,145.145,2019,14.9,591.8,167619,NA,0
Fingal Beach,-38.4711,144.8809,2010,14.75,854.6,148542,NA,0
Fingal Beach,-38.4711,144.8809,2011,14.6,873.4,149271,NA,0
Fingal Beach,-38.4711,144.8809,2012,14.65,877.8,151700,NA,0
Fingal Beach,-38.4711,144.8809,2013,15,806.6,154001,NA,0
Fingal Beach,-38.4711,144.8809,2014,15.15,658.8,156500,NA,0
Fingal Beach,-38.4711,144.8809,2015,14.6,545.6,158831,NA,0
Fingal Beach,-38.4711,144.8809,2016,15.05,646.2,161528,NA,0
Fingal Beach,-38.4711,144.8809,2017,14.85,720.4,163834,NA,0
Fingal Beach,-38.4711,144.8809,2018,15,645.2,165823,NA,0
Fingal Beach,-38.4711,144.8809,2019,14.9,591.8,167619,5,1
Flinders,-38.4759,145.02,2010,14.75,854.6,148542,NA,0
Flinders,-38.4759,145.02,2011,14.6,873.4,149271,5,1
Flinders,-38.4759,145.02,2012,14.65,877.8,151700,NA,0
Flinders,-38.4759,145.02,2013,15,806.6,154001,NA,0
Flinders,-38.4759,145.02,2014,15.15,658.8,156500,NA,0
Flinders,-38.4759,145.02,2015,14.6,545.6,158831,NA,0
Flinders,-38.4759,145.02,2016,15.05,646.2,161528,0,1
Flinders,-38.4759,145.02,2017,14.85,720.4,163834,10,1
Flinders,-38.4759,145.02,2018,15,645.2,165823,4,1
Flinders,-38.4759,145.02,2019,14.9,591.8,167619,6,1
Flinders Foreshore,-38.4755,145.025,2010,14.75,854.6,148542,NA,0
